,max,min,mean,median,std,var,pixels,25_percent,50_percent,75_percent
Farm boundary,520.0000000000576,-0.9953703703703772,0.7513077356759735,-0.04402756508422656,13.09746931896803,171.54370256130886,2063,-0.30280270516321983,-0.04402756508422656,0.3269046519799307
Paddock 1,-0.08547008547008532,-0.8292282430213439,-0.29009038745323223,-0.2713389813726549,0.14898294247989063,0.0221959171499664,42,-0.34200923702833086,-0.2713389813726549,-0.1966922299351151
Paddock 2,2.1610169491525335,-0.9803921568627442,-0.22982406475833259,-0.2952519368571007,0.4800628661666033,0.2304603554720941,70,-0.41196088678622567,-0.2952519368571007,-0.11706824899407793
Paddock 3,2.8896103896103806,-0.27705345501955697,0.08500196636465718,-0.06298740251949579,0.5049162634968973,0.2549404331436682,43,-0.10041135201489312,-0.06298740251949579,0.017084282460136355
Paddock 4,4.054054054054008,-0.9244791666666663,-0.3006444098575557,-0.3391472868217066,0.602574184295106,0.3630956475789124,64,-0.502377143872745,-0.3391472868217066,-0.19892546376307474
Paddock 5,0.6694560669456109,-0.1561514195583594,0.03461235217007845,0.011552680221811487,0.13836947632459465,0.019146111978342557,63,-0.05003032140691323,0.011552680221811487,0.08993727667055218
Paddock 6,6.1507936507939,-0.7936507936507898,0.15131200623262847,-0.21235016074232327,1.2613342047320568,1.59096397602705,52,-0.41212931453573187,-0.21235016074232327,0.02672522836089469
Paddock 7,5.652173913043556,-0.3269754768392374,0.22400420693064566,-0.015686274509803835,0.9585504999248108,0.9188190609061047,63,-0.08466060286664182,-0.015686274509803835,0.05405656275495517
Paddock 8,10.00000000000111,-0.9025270758122733,0.6069305449721041,0.3626952269920233,1.7631579409281026,3.1087259246578265,50,-0.47904191616766567,0.3626952269920233,0.6933647333558653
Paddock 9,0.878787878787875,-0.7161803713527841,-0.19852547572477536,-0.21138912855910252,0.24346669011523506,0.0592760291956679,51,-0.28640720586143126,-0.21138912855910252,-0.12348730200265745
Paddock 10,39.40000000000083,-0.9831460674157332,1.7004056898041489,-0.43219548430562976,6.531409320501818,42.65930771193802,48,-0.61399526847758,-0.43219548430562976,0.8945274615895081
Paddock 11,1.1594202898550439,-0.9883720930232411,-0.1839750142162624,-0.24213490571266486,0.35447027802686965,0.12564917800444625,50,-0.34279953574191996,-0.24213490571266486,-0.125376128385155
Paddock 12,22.22222222222469,-0.9741784037558745,0.678343055847915,-0.4954954954954946,4.545102894742002,20.657960323792125,48,-0.5493975442311405,-0.4954954954954946,-0.4528660844037411
Paddock 13,1.1607142857142716,-0.8838383838383829,-0.1810340101350051,-0.1708428246013667,0.31057111948685734,0.09645442025931981,41,-0.3486529318542014,-0.1708428246013667,-0.09892086330935145
Paddock 14,262.4999999994463,-0.7749326145552567,6.128690437229688,-0.3446327683615823,39.57289386662699,1566.0139289793242,43,-0.48970291626949675,-0.3446327683615823,-0.01752431779605645
Paddock 15,0.33141210374639757,-0.6598984771573525,-0.09906102740651679,-0.10703658162721258,0.1914173995929863,0.03664062086694099,36,-0.16535014691478964,-0.10703658162721258,-0.027997364953886363
Paddock 16,1.3068181818181668,-0.18390307226308936,-0.03503885866340995,-0.0846104725415071,0.21578423995923585,0.046562838214785074,43,-0.102044023941851,-0.0846104725415071,-0.04188116558103952
Paddock 17,0.5592654424040038,-0.0016823687752358125,0.1341692602792539,0.10013418384969217,0.12027393251896082,0.01446581884357554,34,0.06122583018074798,0.10013418384969217,0.16540482431935183
Paddock 18,1.2975778546712724,-0.18956743002544557,0.12026190906316767,0.07092416632145818,0.2714937094866728,0.07370883429083387,68,-0.035955554560065967,0.07092416632145818,0.2055280403395624
Paddock 19,0.37735849056603105,-0.1328374070138151,-0.01962746956694264,-0.03824091778202785,0.10187679277572913,0.010378880906268853,43,-0.07761674718196465,-0.03824091778202785,0.004880097202013573
Paddock 20,0.13784461152881833,-0.6493506493506528,-0.19712787966999362,-0.18930722212197845,0.17425963710368195,0.030366421123506928,28,-0.29940807917328477,-0.18930722212197845,-0.068805881815546
Paddock 21,1.9063545150501542,-0.7329192546583833,-0.14116842890047226,-0.4211793020457281,0.6220693597412474,0.3869702883288855,19,-0.4499440877769201,-0.4211793020457281,-0.04888664951593358
Paddock 22,0.32781667727561975,-0.579621720561317,-0.2406008016605808,-0.30866364400563195,0.21846146867384866,0.04772541329513496,52,-0.3572614094246478,-0.30866364400563195,-0.23917226645346096
Paddock 23,4.519230769230624,-0.8887785501489552,0.25354004976666417,0.19544779811974272,0.6254714224896104,0.3912145003511767,71,-0.07071480557781532,0.19544779811974272,0.34983350611001063
East 18 North third,41.37931034482263,-0.0015527950310559448,1.7384899580502091,0.6288501026694048,5.496465612744597,30.21113423208384,113,0.29672897196261727,0.6288501026694048,1.1370882040382617
East 18 South third,16.57894736842094,-0.9869773817683333,1.03008907820588,0.6144957983193281,2.502121622325464,6.260612612908612,69,0.27123848515864896,0.6144957983193281,1.0673234811165853
East 18 Middle third,19.61111111111085,-0.029736618521665266,1.1306734574118773,0.6653225806451608,2.425756035823246,5.884292345332908,137,0.3312583370386833,0.6653225806451608,1.1451135241855854
votm farm padded,inf,-0.999363462762569,inf,0.1568786238674048,,,49186,-0.045753736077823404,0.1568786238674048,0.33753932035674034
