,max,min,mean,median,std,var,pixels,25_percent,50_percent,75_percent
Farm boundary,0.88808911739503,0.24689565027957303,0.6283036602782873,0.6251782743259453,0.09391374770092889,0.008819792007233726,2284,0.5719934740558092,0.6251782743259453,0.6934676140671878
Paddock 1,0.7859983218415963,0.5337425840474621,0.716221899584088,0.7294400295693956,0.05483344981611388,0.003006707218736279,45,0.7081009685940711,0.7294400295693956,0.7523250664304695
Paddock 2,0.8365150989239848,0.49757383083744666,0.6972933070597167,0.714259176697875,0.08413369126412847,0.007078478005727687,78,0.6409086602103778,0.714259176697875,0.7652327662124931
Paddock 3,0.78069552874379,0.4283426741393115,0.7191602956821533,0.741411142888173,0.07045487301809683,0.004963889131996148,43,0.6985586297032388,0.741411142888173,0.7581090203131463
Paddock 4,0.8167450411908211,0.5687622051975364,0.7365860825442991,0.7587633355105594,0.05712132086047074,0.00326284529684485,69,0.7185661764705883,0.7587633355105594,0.7749211299271133
Paddock 5,0.6920421446294366,0.5305426246402046,0.5845101781066342,0.579914635436876,0.0346470007804517,0.001200414663080621,63,0.5578625721072785,0.579914635436876,0.6049695853188968
Paddock 6,0.7372127501853226,0.5935773080341615,0.6843677837376243,0.6871797251936432,0.028566479486754955,0.0008160437502671916,68,0.6679455269937735,0.6871797251936432,0.7039904603927033
Paddock 7,0.7474402730375426,0.48657598632673404,0.6006025802065394,0.5998492299960513,0.0416456389859346,0.0017343592465467953,63,0.5787990757064823,0.5998492299960513,0.6145973138459483
Paddock 8,0.6356690272083488,0.5018566654288896,0.549403001269291,0.5464194946927792,0.024023442760940185,0.0005771258020881694,61,0.5347583573540973,0.5464194946927792,0.5579922027290447
Paddock 9,0.6051583742870468,0.4281118106967411,0.47583137560933464,0.46851789493925156,0.03278318027778172,0.0010747369091255365,54,0.4566833094478727,0.46851789493925156,0.4850437349267484
Paddock 10,0.651485364788117,0.4064262340736615,0.5944111337708512,0.6013821496838699,0.04292142123607639,0.0018422484009247091,59,0.5870957178626109,0.6013821496838699,0.6202993658752396
Paddock 11,0.5568910256410257,0.47061975352741564,0.5079696222085756,0.5061812693164665,0.020534529939573637,0.000421666919839246,51,0.4923084214279384,0.5061812693164665,0.5227312689223542
Paddock 12,0.6372319336817445,0.5752372019192612,0.6039001392620106,0.6027025097128749,0.01595361189991885,0.00025451773265323236,54,0.5923229518340942,0.6027025097128749,0.6152639084595166
Paddock 13,0.7535541577282477,0.540857999927717,0.6728046510179171,0.6808265118459487,0.03839756743844463,0.001474373185189903,41,0.6542003382822777,0.6808265118459487,0.6995756822006
Paddock 14,0.7433346743224956,0.5818440672885992,0.6610526268287308,0.6607929515418501,0.03454752830533714,0.0011935317120080706,49,0.641988749773181,0.6607929515418501,0.6777493606138107
Paddock 15,0.7392295250698427,0.5393003878201436,0.6743099137001871,0.6802796173657102,0.04018238477129911,0.0016146240459087306,39,0.6503252739080005,0.6802796173657102,0.7052769461077845
Paddock 16,0.7292479108635098,0.541301747752614,0.6575603264012428,0.6644598143285128,0.04773463594732416,0.002278595469023572,45,0.6212671051636804,0.6644598143285128,0.7030958597538232
Paddock 17,0.7288619075482738,0.5853314527503527,0.6498280396786376,0.6425633968489672,0.037961606031081646,0.0014410835324590542,34,0.6299079068167808,0.6425633968489672,0.6869719033082796
Paddock 18,0.7817068077404985,0.47137449727939434,0.6311305002537251,0.6255970617068364,0.07214392313572456,0.005204745645413333,68,0.5975097666998284,0.6255970617068364,0.6704151896139348
Paddock 19,0.88808911739503,0.5728643216080401,0.706207226218704,0.6698835149093375,0.09307972320987014,0.008663834872826038,43,0.641360337184,0.6698835149093375,0.8027978506043965
Paddock 20,0.8243310033185058,0.5049394149880373,0.6317025867078735,0.6341278237847924,0.08333754633835246,0.006945146629697042,28,0.5516324402270041,0.6341278237847924,0.6954917197986519
Paddock 21,0.7974606797674668,0.5954060044328028,0.7376015760785135,0.7458453034655806,0.05736972232768567,0.0032912850399557554,21,0.7251525070674008,0.7458453034655806,0.7798131923828832
Paddock 22,0.746787330316742,0.5161339654381404,0.6500153757140693,0.6524871838018749,0.058704540044353645,0.0034462230218191203,52,0.5981263313449589,0.6524871838018749,0.7051608907325787
Paddock 23,0.7593594230565278,0.3952438165472097,0.6348466217646823,0.6482055590650201,0.04874762270622468,0.002376330719508432,76,0.6154554635002325,0.6482055590650201,0.6646860239194492
East 18 North third,0.8249656866286208,0.5409995147986413,0.7435816005693788,0.7703472349807091,0.06322869946739686,0.003997868436338392,115,0.701940112859301,0.7703472349807091,0.7855333918472349
East 18 South third,0.7248898596867942,0.5400110885233784,0.6205302264934172,0.6126321995799092,0.03835831624055727,0.0014713604248106,91,0.5983034872761545,0.6126321995799092,0.6374808702909318
East 18 Middle third,0.8106219426974143,0.5640632976008167,0.708211410970846,0.7044157961028377,0.04962203339380709,0.002462346198136106,159,0.6675869609861291,0.7044157961028377,0.7487777481123647
votm farm padded,0.9323199785249311,-0.007572697899838439,0.6097387321609263,0.6342457775189284,0.15890161738060474,0.025249724006172102,52547,0.53480811254951,0.6342457775189284,0.717241389723182
