,max,min,mean,median,std,var,pixels,25_percent,50_percent,75_percent
Farm boundary,-0.11178551674690157,-0.3541191114926494,-0.24666517045904793,-0.2509369815763408,0.035284606084937636,0.0012450034265692183,568,-0.2683998320045465,-0.2509369815763408,-0.2286409826496978
Paddock 1,-0.18425631663502262,-0.29312937249020277,-0.24604519798881325,-0.25408143322475574,0.03696743092756851,0.0013665909493845488,13,-0.2781465156130998,-0.25408143322475574,-0.21507851534618133
Paddock 2,-0.175405480520747,-0.29439000667493087,-0.23860373075915395,-0.24064249498409435,0.03703846765849676,0.0013718480864895108,22,-0.26132936836017406,-0.24064249498409435,-0.20536509821079652
Paddock 3,-0.12121480644830065,-0.22674929590911264,-0.17147554134075949,-0.17332480754904395,0.03151330760762609,0.0009930885563728647,11,-0.19127895823274635,-0.17332480754904395,-0.1514496098523584
Paddock 4,-0.11178551674690157,-0.2725221163570554,-0.17670281388230666,-0.16987009803921568,0.036185981102681314,0.001309425228363609,19,-0.18929924686532834,-0.16987009803921568,-0.161529734674271
Paddock 5,-0.16822695110360122,-0.26086217808817114,-0.21130381784676863,-0.2119550352664577,0.024458330679594714,0.000598209939632404,15,-0.22360832986812712,-0.2119550352664577,-0.19674246639655144
Paddock 6,-0.17484981965242102,-0.2927942189293541,-0.24520643009437468,-0.24875766509375227,0.030490164805479978,0.0009296501498653299,18,-0.2598365404396875,-0.24875766509375227,-0.24385489986534303
Paddock 7,-0.19682445533201293,-0.3265332181052177,-0.2598859289500791,-0.2638393363435892,0.02988479363593491,0.0008931008906624155,14,-0.27538683545676684,-0.2638393363435892,-0.24538898582798613
Paddock 8,-0.249947261663286,-0.3178841815119188,-0.2765404029086955,-0.268584911789321,0.021394608169766415,0.0004577292587378359,16,-0.2840314529178082,-0.268584911789321,-0.25996458167807046
Paddock 9,-0.24257016723797653,-0.30168521380731583,-0.2697553581921126,-0.2662297859072958,0.017923143348709678,0.00032123906749839594,15,-0.2848006627987758,-0.2662297859072958,-0.2554578248369026
Paddock 10,-0.22277515614156837,-0.28091993046323754,-0.24817538646300066,-0.24245022453201476,0.014347088170290847,0.00020583893896609955,15,-0.2592559741394351,-0.24245022453201476,-0.23815173983629934
Paddock 11,-0.20189511129179796,-0.26640435909160187,-0.24192302934720827,-0.24437444146559428,0.017724731436986302,0.00031416610451329055,14,-0.25158112611904204,-0.24437444146559428,-0.23198202076475058
Paddock 12,-0.19366522460888375,-0.2648091517857143,-0.23871680414807747,-0.23879195209823922,0.02087387531100129,0.0004357186704992292,15,-0.2554686871858205,-0.23879195209823922,-0.22968393314330354
Paddock 13,-0.23326642205575093,-0.2694400777811892,-0.24926294081209013,-0.2519080848447587,0.0095616317360378,9.142480145560523e-05,11,-0.2537868785027508,-0.2519080848447587,-0.24240775558166866
Paddock 14,-0.23481093977598072,-0.2956896009435817,-0.2725080196104816,-0.27467824131901075,0.01844688623167014,0.0003402876116441814,12,-0.2852525708952507,-0.27467824131901075,-0.2659287170138003
Paddock 15,-0.21706316000200193,-0.29115966217574907,-0.2612108614003785,-0.2651788171942171,0.02114060104969611,0.0004469250127424123,12,-0.27442759051697746,-0.2651788171942171,-0.24485739319462407
Paddock 16,-0.24056187724192907,-0.2840541152781274,-0.2647485431735852,-0.26567548841716526,0.014146523646103039,0.0002001241312697524,10,-0.2755900452685937,-0.26567548841716526,-0.25295651026708205
Paddock 17,-0.24031885102440032,-0.27926178545863584,-0.25358256757230246,-0.24715688107288644,0.01250449865643369,0.00015636248664875195,8,-0.26251904152606165,-0.24715688107288644,-0.2446118208403879
Paddock 18,-0.1880039620843573,-0.2522317230689744,-0.21998432502667256,-0.21907430025445296,0.020513412188091718,0.00042080007959854985,19,-0.2389092970521542,-0.21907430025445296,-0.20040231524617225
Paddock 19,-0.23533358698753926,-0.2766492714979526,-0.25706741068343114,-0.2565471966606584,0.01355860374260123,0.00018383573544888008,11,-0.2685754700948748,-0.2565471966606584,-0.24914846317538522
Paddock 20,-0.23437235803111262,-0.28916085664418134,-0.25917907197022233,-0.2592371108868692,0.016186060354208068,0.00026198854979006623,6,-0.2609022748599713,-0.2592371108868692,-0.2535165271126896
Paddock 21,-0.24513903043335983,-0.2757260087369064,-0.25668028571564977,-0.24917581797668298,0.013567819462962148,0.00018408572497953445,3,-0.2624509133567947,-0.24917581797668298,-0.2471574242050214
Paddock 22,-0.2022208922742111,-0.30315887850467294,-0.246384931753887,-0.2406464659419342,0.03239103769947121,0.001049179323248565,12,-0.27327820973457817,-0.2406464659419342,-0.22651995946795633
Paddock 23,-0.23310110936629352,-0.3541191114926494,-0.295438437812179,-0.2894752313815758,0.03795426407491017,0.0014405261614680168,17,-0.3383541930046355,-0.2894752313815758,-0.27451308438694505
East 18 North third,-0.1989186112398908,-0.27773986123326494,-0.2362844862824634,-0.23379169588858129,0.018699908633646872,0.0003496865829067408,28,-0.25001758403891283,-0.23379169588858129,-0.22517375721836752
East 18 South third,-0.2020466976009478,-0.27793186813186815,-0.24101046489736955,-0.23780071304363787,0.024653660311679076,0.00060780296676366,22,-0.2672130042571294,-0.23780071304363787,-0.21920600698169174
East 18 Middle third,-0.1742768097182117,-0.3190040457165976,-0.2552068504916386,-0.25714563722382094,0.03303804738601442,0.0010915125750805346,41,-0.2816902159838401,-0.25714563722382094,-0.23288992081337373
votm farm padded,0.09528265742816387,-0.5412529114706792,-0.24887196039209378,-0.2522283719955539,0.038878542140011754,0.0015115410389326697,13160,-0.2747108928552058,-0.2522283719955539,-0.22730469350029833
