,max,min,mean,median,std,var,pixels,25_percent,50_percent,75_percent
Farm boundary,0.9627771374330464,0.18764030666271336,0.7031377553779784,0.7215382871016307,0.12690366176308163,0.016104539368878623,2284,0.630006678539626,0.7215382871016307,0.7951061799207545
Paddock 1,0.7880424930205576,0.44312735364601163,0.6942610734678359,0.7093425605536332,0.06312840062837395,0.003985194965896485,45,0.6898161984459056,0.7093425605536332,0.7287860332927325
Paddock 2,0.7733832367653939,0.4003803084724276,0.6025847264244022,0.6147418224612702,0.08263418418085945,0.0068284083952362025,78,0.5382832341731367,0.6147418224612702,0.6598839678218675
Paddock 3,0.7902100204095069,0.5440872898849896,0.7062320674454236,0.7212019436901528,0.049344061863465793,0.002434836441185539,43,0.7003722809928352,0.7212019436901528,0.7321496097815465
Paddock 4,0.7823956442831216,0.5065427650293951,0.6817961582838187,0.6889911001420986,0.05511453201860358,0.003037611639629679,69,0.6575402315590184,0.6889911001420986,0.7158645276292336
Paddock 5,0.874180186399724,0.4736395245411175,0.7664935438776787,0.7819562466100162,0.07832917791626001,0.006135460113037116,63,0.7635148529785531,0.7819562466100162,0.8067600071583706
Paddock 6,0.7363130497217736,0.5027396140006543,0.6840707260304053,0.7049594205254608,0.04880189460979721,0.0023816249175057543,68,0.6737655945042773,0.7049594205254608,0.7116429482600524
Paddock 7,0.8972261977782321,0.7047598779882244,0.8152866950814441,0.8268364208568771,0.04103461086813536,0.0016838392890992926,63,0.7960427396663701,0.8268364208568771,0.8421808388588078
Paddock 8,0.77511228345334,0.5372148859543816,0.6720446879654722,0.6663203977146249,0.05451502405042668,0.002971887847218599,61,0.6293334311603507,0.6663203977146249,0.7152596086523935
Paddock 9,0.8344158187197807,0.7014696765252909,0.7642989103129842,0.7642806027802114,0.025441151862098922,0.0006472522080703795,54,0.7528837677987472,0.7642806027802114,0.7775602338872204
Paddock 10,0.8636945847861668,0.6267089576725363,0.7749117752213454,0.7843664801262735,0.059059248343881925,0.00348799481494432,59,0.7450211868440297,0.7843664801262735,0.8141809762423269
Paddock 11,0.7866967469616477,0.695401465148328,0.7182476824047027,0.7150125377039648,0.014475988746326803,0.00020955425018378025,51,0.7105797288272799,0.7150125377039648,0.7246678883772231
Paddock 12,0.8493829802411016,0.6984495828730335,0.7838693962744506,0.7804394003910868,0.03339258317629481,0.0011150646111857672,54,0.7634477852888588,0.7804394003910868,0.8040224522218421
Paddock 13,0.9256763760754638,0.7201373734482881,0.8498197277404467,0.8697273114614402,0.058606413537895766,0.0034347117077748518,41,0.8122737275502235,0.8697273114614402,0.8913028218447284
Paddock 14,0.9125613210806328,0.6406494522691705,0.8165595486364563,0.8221429570569311,0.05620281684156782,0.003158756620926819,49,0.7967671630948057,0.8221429570569311,0.8545434853243798
Paddock 15,0.923243652377348,0.7152827554985475,0.8416050661398623,0.8526289541179823,0.04235958098018486,0.0017943341008168385,39,0.8235133440447435,0.8526289541179823,0.8706625201318599
Paddock 16,0.8645040856579318,0.5006872177498527,0.7291621819222789,0.7506505882784151,0.09790333194720129,0.009585062406363884,45,0.6446648426812586,0.7506505882784151,0.8112731856654061
Paddock 17,0.9128986677432379,0.6104787151099329,0.7636997448058205,0.7529345230013531,0.0670910016392172,0.004501202500953446,34,0.7195903459716998,0.7529345230013531,0.810140970625552
Paddock 18,0.9007170057291843,0.5015686753860571,0.6806402400268847,0.6640583410572929,0.10511715137329375,0.011049615512835953,68,0.5952575363423519,0.6640583410572929,0.7565217391304349
Paddock 19,0.9241065541342477,0.5388807548397593,0.7313321610149611,0.6926952141057935,0.13539243463502543,0.018331111356399633,43,0.5999064209038834,0.6926952141057935,0.8705554792292418
Paddock 20,0.8595666747296036,0.4370129615851509,0.6634119488668183,0.6497332964341811,0.12460212707950591,0.01552569007273734,28,0.5750542125130511,0.6497332964341811,0.7952516178375472
Paddock 21,0.8825165102537366,0.4599571734475374,0.7744813659193157,0.8218528150699375,0.1091195271978679,0.01190707121588623,21,0.7155667801324989,0.8218528150699375,0.8458472217449574
Paddock 22,0.8990318118948823,0.5188153166177867,0.7669780571417887,0.7812885176296298,0.0889076952164415,0.007904578268699653,52,0.7220986239905351,0.7812885176296298,0.8396760039197293
Paddock 23,0.8357982956546236,0.3520978283786633,0.7211800923795849,0.7612729745140213,0.10223876741117086,0.01045276556175549,76,0.6856086220941574,0.7612729745140213,0.7928911450981369
East 18 North third,0.8001064207165662,0.5294020822188387,0.7090235431393461,0.7239877459122283,0.05578195593683971,0.003111626608139527,115,0.6855470206577672,0.7239877459122283,0.7445192098979814
East 18 South third,0.9025778024494326,0.6579351077701926,0.8289309587446276,0.8318303152730684,0.040666964186611684,0.0016538019761551572,91,0.8209296582927821,0.8318303152730684,0.8496355595340661
East 18 Middle third,0.9627771374330464,0.5878690500100422,0.8275157051347672,0.8434262111453374,0.08107717442761625,0.006573508213166109,159,0.7838142567332137,0.8434262111453374,0.884659712962562
votm farm padded,1.3164853430039287,-0.02408215194474736,0.6259577750611531,0.6353116406966085,0.15869844237522465,0.025185195612322502,52547,0.524023320263922,0.6353116406966085,0.7289424083457263
