,max,min,mean,median,std,var,pixels,25_percent,50_percent,75_percent
Farm boundary,4.009791496796739,1.7125006669630947,3.203799321799455,3.242828888119155,0.2958436538205915,0.08752346750591798,568,3.0499552503925935,3.242828888119155,3.3938233237177236
Paddock 1,3.619322401614531,2.7198824326941704,3.140735263261075,3.053294447668795,0.28526683403130243,0.08137716659824265,13,2.9583748701973,3.053294447668795,3.313750840134422
Paddock 2,3.536677158533064,2.809214359185353,3.1287881472472776,3.093214670611542,0.24236447731651406,0.058740539864907064,22,2.8947242018227626,3.093214670611542,3.3653999580430654
Paddock 3,3.218578947368421,2.905652892561984,3.071753873457268,3.0502543859649123,0.10814458086028046,0.01169525036944574,11,2.9795390099709875,3.0502543859649123,3.179062798172093
Paddock 4,3.552948297604036,2.836965141612201,3.0845121844348453,3.0507846089502304,0.18322458187840296,0.03357124740451559,19,2.9936375598174427,3.0507846089502304,3.1078230577703323
Paddock 5,3.541645685279188,3.1381917654956366,3.294026987901463,3.312283737024222,0.1053298804260249,0.011094383710560703,15,3.2301602995315815,3.312283737024222,3.3313839266198677
Paddock 6,3.4665900109769487,2.870850746268657,3.102228512340641,3.0717662566395805,0.14720197829238824,0.02166842241319274,18,3.0133203582270416,3.0717662566395805,3.2052325447791192
Paddock 7,3.5002305107526888,3.1643809192200556,3.388199029859997,3.418708321900142,0.10427646560328085,0.010873581278712215,14,3.3461845930372984,3.418708321900142,3.461460527137525
Paddock 8,3.2957424836601312,2.79689759407773,3.0261561265054784,3.0484210134419136,0.14078898910828241,0.019821539454132064,16,2.92745031213705,3.0484210134419136,3.135945159682461
Paddock 9,3.386618900873138,3.18528014875155,3.288260297066743,3.27709756097561,0.0572911381650355,0.0032822745122451868,15,3.26403438949104,3.27709756097561,3.3316099856507804
Paddock 10,3.4595988548332777,3.055476102941177,3.3455165486817546,3.390364917296304,0.12041722245271051,0.01450030746322557,15,3.341710044288231,3.390364917296304,3.415380329169145
Paddock 11,3.2274859002169203,3.129400296241437,3.1717642383906823,3.1666381642333254,0.027230806513725347,0.0007415168233879468,14,3.153117803168607,3.1666381642333254,3.1935990243061827
Paddock 12,3.4803296570739275,3.228731092436975,3.343484233307944,3.3421705399863297,0.07073777351190969,0.005003832601422231,15,3.2993406508879968,3.3421705399863297,3.3879166628357837
Paddock 13,3.514555520203628,3.2182917398945516,3.4041798818965914,3.4201748687664044,0.10275089380135508,0.01055774617697735,11,3.3413388193430595,3.4201748687664044,3.506924697876329
Paddock 14,3.5971253561253564,3.2591309398099266,3.4167370159028874,3.4072896743153596,0.0899334799668569,0.00808803081894905,12,3.354060655737705,3.4072896743153596,3.4365320940008717
Paddock 15,3.5252724002616094,3.2942144617912907,3.4024178997193553,3.3869247868840833,0.05690901896739071,0.003238636439830835,12,3.3689807183355263,3.3869247868840833,3.4393507697074033
Paddock 16,3.237313521278506,2.6803295324971494,3.056094148926132,3.1491514885953626,0.18498695662621537,0.03422017412182928,10,2.961686267828017,3.1491514885953626,3.186731326579043
Paddock 17,3.6000025676476404,3.207380664652568,3.3866955506528718,3.3795699514424973,0.14232631471125615,0.02025677985928753,8,3.263471464382727,3.3795699514424973,3.491621771908264
Paddock 18,3.831682501503308,3.217039303079417,3.5108194680336156,3.511882352941177,0.18275362056400282,0.03339888582925151,19,3.3552899325084367,3.511882352941177,3.6175856710912377
Paddock 19,4.009791496796739,3.2266119116234395,3.560273721160856,3.602508216863769,0.24168243196668626,0.05841039792133193,11,3.3467560135398258,3.602508216863769,3.6962522329604464
Paddock 20,3.602430656934307,2.872065237226278,3.185003599865849,3.1752441922337757,0.22502642675147383,0.05063689273653641,6,3.05770374125948,3.1752441922337757,3.2436963452826277
Paddock 21,3.3664663267473975,3.277062176165803,3.321771972724935,3.3217874152616025,0.03649909326871973,0.0013321838094387019,3,3.299424795713703,3.3217874152616025,3.3441268710045
Paddock 22,3.3082613065326636,2.704448844884489,2.970926346482457,2.927747176542505,0.1927804364086163,0.03716429666189655,12,2.787741097208855,2.927747176542505,3.1592036896889306
Paddock 23,3.0695528219971058,2.205622543950362,2.7632401174976757,2.862120689655173,0.25690546516917123,0.06600041803378824,17,2.6231269465799336,2.862120689655173,2.9786535176901183
East 18 North third,3.3188699660359053,2.8972135922330104,3.1453871331028083,3.1638190226624827,0.10698733281502573,0.011446289382873082,28,3.0794266769918015,3.1638190226624827,3.22775765235519
East 18 South third,3.554754433372741,3.1101363960113964,3.4191295814478875,3.45304453403417,0.10093421892135221,0.010187716549263455,22,3.3829217451217586,3.45304453403417,3.4730398608224977
East 18 Middle third,3.61258488538682,2.496978980147918,3.1823356898900204,3.316965075236857,0.3126608395089103,0.09775680056241659,41,2.898044510385757,3.316965075236857,3.4368808850440864
votm farm padded,4.192886543535621,-0.8494227212681639,3.0989752821348757,3.1941889181894147,0.5933445945580215,0.3520578078912229,13126,2.7535483303876966,3.1941889181894147,3.5099306809251134
