,max,min,mean,median,std,var,pixels,25_percent,50_percent,75_percent
Farm boundary,0.8894026262252636,0.20801658604008294,0.7320562291039905,0.7406213947237579,0.08705729983993955,0.0075789734554211384,2284,0.6916000807518159,0.7406213947237579,0.7924243608960437
Paddock 1,0.8587809293904647,0.6599378881987578,0.8039386058887781,0.8219895287958116,0.04887612375024914,0.002388875472849668,45,0.7772164688052539,0.8219895287958116,0.8397154216363256
Paddock 2,0.8611509318042188,0.7051070840197694,0.8129094006845362,0.8190336842230085,0.03685239026953885,0.0013580986685784015,78,0.8016851369399167,0.8190336842230085,0.8408011137483643
Paddock 3,0.8549307253463733,0.5798525798525799,0.8040561736357886,0.8269775550228808,0.06112569673885985,0.003736350801811062,43,0.8047634335337924,0.8269775550228808,0.8356664637857577
Paddock 4,0.8501577287066246,0.6909620991253644,0.8071055876879452,0.8159708147547629,0.03024085473019428,0.0009145092948127138,69,0.7986013986013986,0.8159708147547629,0.8233185747417247
Paddock 5,0.838971315529179,0.7012113055181696,0.7586372340333699,0.7529385673098248,0.030162074448059805,0.0009097507350103023,63,0.7316636851520573,0.7529385673098248,0.7799281730550081
Paddock 6,0.795982259326898,0.6453227931488801,0.7248445142451603,0.7283950617283951,0.03150372534729429,0.0009924847107577524,68,0.7061002389960283,0.7283950617283951,0.7418017485765214
Paddock 7,0.8283728003475994,0.6984246061515379,0.7865710622010296,0.7934418915904529,0.026732050380013764,0.000714602517519594,63,0.7762351990521444,0.7934418915904529,0.8058164722141814
Paddock 8,0.8339319670399324,0.632859109683341,0.7351110047093418,0.7263255383190553,0.04425120468260957,0.001958169115862207,61,0.7154831199068684,0.7263255383190553,0.7591809481415536
Paddock 9,0.7989094874591057,0.4337121212121212,0.5772652763144648,0.5592583915585997,0.08281651670265568,0.006858575438761246,54,0.5169606512890095,0.5592583915585997,0.6344318787265334
Paddock 10,0.7683811928053014,0.6182152713891444,0.7205508886214811,0.7168539325842697,0.02950784000638481,0.0008707126218424039,59,0.6999507390116058,0.7168539325842697,0.7492259125432417
Paddock 11,0.743249644718143,0.55078557202921,0.710521503364407,0.715079916608756,0.03148112947569452,0.0009910615130654422,51,0.6960689501062117,0.715079916608756,0.7321604538894142
Paddock 12,0.7124313529705442,0.631666271628348,0.6716546967279555,0.6693828944487947,0.023081293297597706,0.0005327461002897287,54,0.6542372881355932,0.6693828944487947,0.6917687399817187
Paddock 13,0.8007695596408722,0.7168100441757731,0.7692139269129409,0.7721848557170753,0.02444039137984864,0.0005973327308001798,41,0.7465318598636257,0.7721848557170753,0.7921899977163736
Paddock 14,0.7800338409475466,0.6632821723730815,0.7472387265628708,0.7593123209169055,0.030333711100661277,0.0009201340291383811,49,0.7371267340700682,0.7593123209169055,0.7676137676137677
Paddock 15,0.7942312059959119,0.6826462128475551,0.7353829446525231,0.7350343473994112,0.024618191903062546,0.0006060553725760143,39,0.7205905597153102,0.7350343473994112,0.7539810834212994
Paddock 16,0.8166311300639659,0.6939794419970632,0.7665963561369726,0.7670722622299478,0.024916480615856364,0.0006208310062803459,45,0.7489477593463728,0.7670722622299478,0.7869292748433303
Paddock 17,0.7779842080817464,0.6026587887740029,0.7016984050527294,0.7164900750585773,0.04575097408408138,0.002093151629642286,34,0.6864631891455507,0.7164900750585773,0.7367795746603114
Paddock 18,0.7208538587848933,0.5363427697016068,0.6442033171114696,0.6439605595888735,0.043048695140174474,0.0018531901532716814,68,0.6213118233655427,0.6439605595888735,0.6779157600377268
Paddock 19,0.781614559029398,0.5470941883767535,0.6498647529917737,0.6461232604373758,0.0701120914286989,0.004915705364506233,43,0.5846964980512102,0.6461232604373758,0.7245906612956515
Paddock 20,0.8301731244847486,0.5531914893617021,0.7248925062911716,0.7366653407182946,0.05456702597150807,0.002977560323375236,28,0.7006216057499801,0.7366653407182946,0.7574607198012488
Paddock 21,0.8436348751534998,0.5968045112781954,0.7926130100635371,0.8199834847233691,0.05812371935456003,0.003378366751607656,21,0.7751994198694706,0.8199834847233691,0.8270771826233657
Paddock 22,0.761598857958601,0.510752688172043,0.6514144750151076,0.6609788868186806,0.06421250674640454,0.004123246022657049,52,0.6130018287619722,0.6609788868186806,0.7020071074172441
Paddock 23,0.7849860982391103,0.47895652173913045,0.7025006082883631,0.716398204383417,0.057365650263557146,0.0032908178301607536,76,0.6666437222881693,0.716398204383417,0.7431296111921057
East 18 North third,0.8894026262252636,0.6757044125465178,0.8278040269970273,0.8409239485726738,0.04454019774053317,0.001983829214765796,115,0.8146788593456451,0.8409239485726738,0.8607192085063038
East 18 South third,0.8087971274685817,0.683658607631809,0.7733827889240116,0.7777777777777778,0.026657697912329237,0.0007106328579850026,91,0.7679365454126403,0.7777777777777778,0.7890419745167936
East 18 Middle third,0.8887240356083086,0.6432266717762023,0.814716270133467,0.8179425312568546,0.04784707029930735,0.0022893421362268594,159,0.7939972147474321,0.8179425312568546,0.8533776175257206
votm farm padded,0.8894026262252636,-0.2196969696969697,0.4086130918470582,0.2825166364186328,0.23172979822133827,0.05369869938370215,52547,0.2029020598659508,0.2825166364186328,0.658185356338506
