,max,min,mean,median,std,var,pixels,25_percent,50_percent,75_percent
Farm boundary,1.4285714285714262,-0.2816901408450709,-0.13182126046297638,-0.13698630136986278,0.06614282036496975,0.004374872685832657,2284,-0.16914420264652022,-0.13698630136986278,-0.10307880671780331
Paddock 1,-0.06138392857142962,-0.2452619843924203,-0.13692191047785132,-0.12915129151291493,0.04198174648990467,0.0017624670383426235,45,-0.1705069124423957,-0.12915129151291493,-0.11316872427983557
Paddock 2,-0.06479481641468716,-0.2382875605815836,-0.13932707126861782,-0.1417072925847007,0.03754872356032124,0.0014099066410094233,78,-0.16077703004496346,-0.1417072925847007,-0.11605415860735056
Paddock 3,0.10784313725490247,-0.24031007751937983,-0.13813251040248914,-0.14577259475218673,0.07272807944071567,0.00528937353913505,43,-0.1784615384615386,-0.14577259475218673,-0.12345583521116851
Paddock 4,0.06393861892583104,-0.23295944779982775,-0.16708670372666196,-0.17939814814814795,0.05302514395237033,0.0028116658911695957,69,-0.1923076923076924,-0.17939814814814795,-0.15130674002751038
Paddock 5,0.1969696969696989,-0.22875816993464065,-0.11738184041066362,-0.12931034482758616,0.059974530528603714,0.003596944312126419,63,-0.15236070874607094,-0.12931034482758616,-0.09910271490335727
Paddock 6,0.0669642857142846,-0.2749490835030549,-0.1497438626594852,-0.1626710063242571,0.06765142474328797,0.004576715269796756,68,-0.20626847859209546,-0.1626710063242571,-0.10982085923800425
Paddock 7,0.09394572025052204,-0.21994134897360662,-0.11944003747498375,-0.13023782559456373,0.047135110600237805,0.0022217186512966504,63,-0.14347719479302784,-0.13023782559456373,-0.09244901759087691
Paddock 8,-0.05535055350553556,-0.23851590106007023,-0.12910739373105767,-0.12820512820512786,0.040013029937103706,0.0016010425647475573,61,-0.15315315315315411,-0.12820512820512786,-0.09816753926701577
Paddock 9,-0.02024291497975762,-0.2816901408450709,-0.1264900519452281,-0.11988091893747878,0.046053251004425054,0.0021209019280765775,54,-0.14515108368928975,-0.11988091893747878,-0.09601641861563899
Paddock 10,-0.08526187576126659,-0.2486402486402487,-0.16297475750541043,-0.16233766233766303,0.04161716390166148,0.0017319883312177553,59,-0.18898538295842848,-0.16233766233766303,-0.12968299711815523
Paddock 11,-0.008605851979346196,-0.24901703800786343,-0.12985812322526719,-0.13853904282115892,0.04760340430684775,0.0022660841016012108,51,-0.16646115906288553,-0.13853904282115892,-0.10897950780258475
Paddock 12,-0.08566978193146442,-0.24509803921568563,-0.15602676066999233,-0.16043650036398616,0.03974958012063121,0.00158002911976648,54,-0.1781132920671129,-0.16043650036398616,-0.11979629959082097
Paddock 13,-0.06232686980609401,-0.2606951871657763,-0.1517826292392016,-0.1482617586912067,0.04112828197661837,0.0016915355783482318,41,-0.18063583815028994,-0.1482617586912067,-0.1285714285714286
Paddock 14,0.0606060606060629,-0.23982558139534874,-0.10767431583625833,-0.11952191235059789,0.07005358186170728,0.004907504331654923,49,-0.15384615384615488,-0.11952191235059789,-0.05649717514124297
Paddock 15,0.02388535031847093,-0.2185430463576163,-0.11508715393922571,-0.12517385257301766,0.05149993354116239,0.0026522431547441427,39,-0.14583028910013152,-0.12517385257301766,-0.0952744847598032
Paddock 16,-0.017301038062284276,-0.19321394910461845,-0.12500845605045366,-0.13812154696132606,0.04188321481732813,0.0017542036834344548,45,-0.15439429928741114,-0.13812154696132606,-0.10611735330836404
Paddock 17,0.021052631578948027,-0.17955801104972366,-0.11098229359994337,-0.12141624907582405,0.04770651705845172,0.0022759117698483446,34,-0.1470896833932273,-0.12141624907582405,-0.09132506747638366
Paddock 18,-0.06478209658421631,-0.21788129226145792,-0.14949835546169218,-0.15565773604410776,0.037625501983647905,0.0014156783995214926,68,-0.1812340746799211,-0.15565773604410776,-0.1180069930069933
Paddock 19,-0.08333333333333355,-0.2605633802816898,-0.13434014199745284,-0.13038548752834406,0.03360777761328113,0.0011294827161037605,43,-0.1509650446372442,-0.13038548752834406,-0.11197663096397414
Paddock 20,-0.04159733777038286,-0.19867549668874102,-0.12527643603532765,-0.1312108668202706,0.03511339560854189,0.001232950551161969,28,-0.14584900684851818,-0.1312108668202706,-0.09544787077826686
Paddock 21,-0.02631578947368398,-0.17777777777777773,-0.1176911734354444,-0.13368983957219274,0.04034237771810646,0.0016275074399503726,21,-0.14631043256997434,-0.13368983957219274,-0.08865248226950362
Paddock 22,0.2509652509652498,-0.23809523809523936,-0.10892282849978505,-0.1129025933284529,0.08573901899767261,0.007351179378683264,52,-0.16146393972012935,-0.1129025933284529,-0.07336535834623474
Paddock 23,1.4285714285714262,-0.2345215759849914,-0.08035297213850794,-0.11783254757732084,0.1901785163649104,0.03616786808675849,76,-0.14836795252225554,-0.11783254757732084,-0.056519725781933344
East 18 North third,-0.007716049382717372,-0.249702734839477,-0.16414139149743925,-0.17358171041490275,0.04630663874362806,0.0021443047917328755,115,-0.19922467434905264,-0.17358171041490275,-0.138312586445367
East 18 South third,-0.016447368421053113,-0.25263157894736915,-0.12662056794772328,-0.13024602026049187,0.05093919926656661,0.00259480202191898,91,-0.16273185603872883,-0.13024602026049187,-0.08929271864335839
East 18 Middle third,0.3846153846153879,-0.23738872403560887,-0.10943172213535275,-0.12939958592132544,0.08375823742928305,0.0070154423372601514,159,-0.16408400143592272,-0.12939958592132544,-0.08356897356069018
votm farm padded,22.50000000000243,-0.9825870646766243,-0.15694658653794202,-0.16093229744728027,0.19101572043968376,0.03648700545509142,52470,-0.20100502512562893,-0.16093229744728027,-0.12154696132596732
