,max,min,mean,median,std,var,pixels,25_percent,50_percent,75_percent
Farm boundary,0.014123511492661313,-0.04246053347849755,-0.011876596068947932,-0.01243640474844545,0.006967882390008332,4.855138500098822e-05,2284,-0.01651735289408287,-0.01243640474844545,-0.007757618033520973
Paddock 1,0.008342602892102336,-0.023960880195599023,-0.012357400084721255,-0.011268985791278784,0.0065711915532877955,4.318055843000087e-05,45,-0.017318159327065808,-0.011268985791278784,-0.008166295471417966
Paddock 2,0.009676527508985348,-0.018877682958365657,-0.006662262917884045,-0.006333705963450056,0.0059839842141475984,3.580806707516765e-05,78,-0.011539282173091296,-0.006333705963450056,-0.002697155605131065
Paddock 3,0.006396588486140725,-0.02484787018255578,-0.01111459597539464,-0.013346515076618883,0.009338284732269183,8.720356174093172e-05,43,-0.017357572318671365,-0.013346515076618883,-0.004846460636865573
Paddock 4,0.014123511492661313,-0.029662109878772245,-0.0134419572272964,-0.014289425824889582,0.00970939889972606,9.427242699400163e-05,69,-0.02136115250869349,-0.014289425824889582,-0.007866273352999017
Paddock 5,0.0,-0.02540650406504065,-0.012450972491533485,-0.011575239053850024,0.005223532487981645,2.728529165299972e-05,63,-0.01616860693310672,-0.011575239053850024,-0.009718670076726343
Paddock 6,0.0034824537905170103,-0.023790430366212242,-0.012658280139877954,-0.013431656570977087,0.006478404197201793,4.196972094232181e-05,68,-0.0175393877370529,-0.013431656570977087,-0.007944915254237288
Paddock 7,-0.010127931769722815,-0.024946921443736732,-0.0183227594572334,-0.01753453772582359,0.0032631683679731466,1.0648267797740528e-05,63,-0.021030766681196612,-0.01753453772582359,-0.01646431427903088
Paddock 8,0.0,-0.022016852405544986,-0.01271457995435671,-0.012908541609447955,0.004046298497105145,1.6372531527675354e-05,61,-0.014679371619881535,-0.012908541609447955,-0.01136678680343776
Paddock 9,-0.0011318619128466328,-0.025460455037919827,-0.012234287672066248,-0.011663535661074042,0.005458988253582074,2.9800552752747063e-05,54,-0.0153972897214255,-0.011663535661074042,-0.008578276275473033
Paddock 10,-0.004474861805738352,-0.01981981981981982,-0.01441101287589179,-0.015637016149705203,0.003658690348819092,1.338601506854197e-05,59,-0.017066426315121792,-0.015637016149705203,-0.011787473264780121
Paddock 11,0.0014779781259237363,-0.02627694124594036,-0.012782666651104715,-0.012612612612612612,0.0067838858492364675,4.602110721547079e-05,51,-0.016838189104010977,-0.012612612612612612,-0.008155345046668433
Paddock 12,-0.0024718483932985444,-0.0290084388185654,-0.015898934723860076,-0.015910423998659294,0.007551922528635906,5.703153387851854e-05,54,-0.02171181487619746,-0.015910423998659294,-0.009626274065685165
Paddock 13,-0.002617039837161966,-0.019742489270386267,-0.012029292967885559,-0.01171875,0.003583886468235255,1.2844242217199768e-05,41,-0.013806706114398421,-0.01171875,-0.01015228426395939
Paddock 14,0.0008154389779831476,-0.019791094007696537,-0.007844011770492905,-0.0074482758620689656,0.004590580934244307,2.1073433313847334e-05,49,-0.010842368640533779,-0.0074482758620689656,-0.0046208208752378365
Paddock 15,0.006954944058058663,-0.015356265356265357,-0.005783108324591305,-0.006362058993637941,0.005915704124383445,3.499555528724731e-05,39,-0.011089295331841647,-0.006362058993637941,-0.0007374341173946861
Paddock 16,0.0058997050147492625,-0.021693121693121695,-0.010426993416940178,-0.010650224215246636,0.005625969033592901,3.165152756694624e-05,45,-0.014941302027748132,-0.010650224215246636,-0.007042253521126761
Paddock 17,-0.0033062819356777877,-0.021068702290076336,-0.013014399253638766,-0.013095373858031757,0.004498408605246354,2.0235679979754448e-05,34,-0.015981559058116778,-0.013095373858031757,-0.010011778563015312
Paddock 18,-0.003541269408880414,-0.024940929377789446,-0.01435496467548365,-0.014699103283040405,0.004333948650727636,1.8783110907143894e-05,68,-0.0167783087801555,-0.014699103283040405,-0.011534830120858416
Paddock 19,-0.009587727708533078,-0.02198852772466539,-0.015320417263518446,-0.015558698727015558,0.0032155783051184108,1.033994383634819e-05,43,-0.017585587083421526,-0.015558698727015558,-0.012937230474365118
Paddock 20,-0.008899297423887589,-0.021037868162692847,-0.014462630859064917,-0.014457628261309242,0.0031991199504723244,1.0234368457510048e-05,28,-0.0165959294176421,-0.014457628261309242,-0.011784678033889174
Paddock 21,-0.01272984441301273,-0.023144834168456217,-0.01642797196634226,-0.01584253480556889,0.0028487467845128662,8.115358242272394e-06,21,-0.01729106628242075,-0.01584253480556889,-0.014206597640260053
