,max,min,mean,median,std,var,pixels,25_percent,50_percent,75_percent
Farm boundary,0.6976646505376345,0.3136515178101421,0.5292272296013981,0.5347060510754478,0.06195150354124818,0.003837988791021286,2284,0.48636364585817937,0.5347060510754478,0.572513058248611
Paddock 1,0.6091826265389878,0.45323999281996047,0.5522040457822958,0.5689582454660481,0.042325934159297945,0.0017914847024572249,45,0.5208151128214098,0.5689582454660481,0.5819262577532736
Paddock 2,0.60958033064858,0.43761061946902646,0.5222769265919687,0.522086834520874,0.04393685445126885,0.0019304471790719837,78,0.4884462838420416,0.522086834520874,0.5586816889110157
Paddock 3,0.6648708739524543,0.5122848069530337,0.609087399191439,0.6107930628051861,0.03639384185875693,0.001324511725240208,43,0.5913393081497613,0.6107930628051861,0.6361965407748658
Paddock 4,0.6333989557476676,0.4813852813852813,0.5853196338094229,0.5953194396993506,0.034351882482928565,0.0011800518301209346,69,0.5641370047011416,0.5953194396993506,0.6121934833725227
Paddock 5,0.6433946488294315,0.5503461572167208,0.5867470088018498,0.5859109449354183,0.017544396599555152,0.0003078058520424824,63,0.5750220048493706,0.5859109449354183,0.5963478599167098
Paddock 6,0.6048002772723334,0.4784955448937627,0.5518542605663108,0.5577101101673584,0.026464615328066966,0.000700375864462557,68,0.5302646604379727,0.5577101101673584,0.573178837154367
Paddock 7,0.622292073740549,0.4976775049767751,0.5919008257251607,0.5969267139479905,0.021676393850522065,0.00046986605036295083,63,0.5826838457507448,0.5969267139479905,0.6029875171285128
Paddock 8,0.627342419080068,0.5047643574555757,0.5594278846155113,0.5514002435206122,0.03066920060504899,0.0009405998657527374,61,0.5375885314446625,0.5514002435206122,0.5826558265582655
Paddock 9,0.5633686300463271,0.41870261162594774,0.47803784564682245,0.4709925223010726,0.03424098376082219,0.001172444968908889,54,0.4487073251574411,0.4709925223010726,0.5045847941739489
Paddock 10,0.5799126637554586,0.49465821245548514,0.5378559664239387,0.5406719717064544,0.018882684105898984,0.0003565557590431701,59,0.522733245820534,0.5406719717064544,0.5546432259335534
Paddock 11,0.5725024036360459,0.49196114553676107,0.5479956475778586,0.5495098853630171,0.014955737990794016,0.00022367409884927944,51,0.540774069689421,0.5495098853630171,0.5548554334133081
Paddock 12,0.5400188727803038,0.478554918243301,0.5119144778513504,0.5109950290673182,0.013032913135425095,0.00016985682479553598,54,0.5041701417848207,0.5109950290673182,0.5223289230888339
Paddock 13,0.6224066390041493,0.5332270515187113,0.5822458625661296,0.5818276130370883,0.019826277270398988,0.0003930812704027396,41,0.5677172061328789,0.5818276130370883,0.5981833910034602
Paddock 14,0.5699415003441157,0.49987083440971325,0.5446589828834147,0.5485482095995936,0.017873001437233645,0.0003194441803753559,49,0.5383772853652372,0.5485482095995936,0.5563157444624989
Paddock 15,0.5829675153643548,0.5088495575221239,0.5506306623126453,0.5516869767056288,0.019259664484913102,0.0003709346760714231,39,0.5362318168885407,0.5516869767056288,0.5672218589103973
Paddock 16,0.6272417111363836,0.4954994319671414,0.569792427547236,0.5702150731971806,0.033335788456316545,0.0011112747920042877,45,0.546229120971824,0.5702150731971806,0.597352838732149
Paddock 17,0.5512156587378214,0.4415188966505464,0.5150845007273984,0.5156340567021391,0.026814882761851556,0.0007190379375318438,34,0.49792370818197024,0.5156340567021391,0.5387449523368197
Paddock 18,0.5508030726256983,0.3979143798024149,0.4655050200384862,0.4622272912870965,0.035904437387643394,0.0012891286241232046,68,0.43005055113064405,0.4622272912870965,0.4971764550761699
Paddock 19,0.5606837606837607,0.37233079985522977,0.45891012923074753,0.4408914728682171,0.05905329112906205,0.0034872911931737582,43,0.40675361779953556,0.4408914728682171,0.5272894347185572
Paddock 20,0.6046993780234969,0.4366576819407007,0.5163043341166726,0.5268957594053261,0.04249090368009,0.0018054768955506858,28,0.482741734659919,0.5268957594053261,0.5496530111074711
Paddock 21,0.611239612781633,0.45957775489186403,0.5758044054257584,0.5903764204545455,0.03859380726237604,0.0014894819590054295,21,0.5657816608703028,0.5903764204545455,0.6046993780234969
Paddock 22,0.5583867849925315,0.4475200838281522,0.4982775674052041,0.49642253961587035,0.03203503619774691,0.001026243544190955,52,0.47083385382447385,0.49642253961587035,0.5269460904874365
Paddock 23,0.5616315553563425,0.4183430870519386,0.5118409304434535,0.5240685225167534,0.03668363436729873,0.0013456890303936606,76,0.49172092182825056,0.5240685225167534,0.5385445516012053
East 18 North third,0.6794482305608014,0.45974443749441524,0.5950967843337014,0.6060353451150383,0.0444413237986065,0.0019750312609725885,115,0.5731199060359924,0.6060353451150383,0.6259078205159465
East 18 South third,0.5833190468026744,0.45309673529158395,0.5390005017749204,0.5416738716928928,0.02353610461866368,0.000553948220620682,91,0.5304229648429566,0.5416738716928928,0.5528765822521775
East 18 Middle third,0.6976646505376345,0.509342977697408,0.6034222065646222,0.6034059276240379,0.04122696569569043,0.001699662700473636,159,0.5689669367045773,0.6034059276240379,0.6354546236518568
votm farm padded,0.6976646505376345,0.0831120291137996,0.30149055339506375,0.2587935119373063,0.13317508333948605,0.017735602822479053,52547,0.18642537453541133,0.2587935119373063,0.4098104086333545
