,max,min,mean,median,std,var,pixels,25_percent,50_percent,75_percent
Farm boundary,0.6093893269759766,0.08690281882747365,0.3455286250429808,0.34681984994961185,0.10714287124168108,0.01147959485791145,2284,0.25606116231870707,0.34681984994961185,0.4303734025641832
Paddock 1,0.6004767143381003,0.2400483011325783,0.45370366313643895,0.47971501347410395,0.08334192167732682,0.006945875908869678,45,0.3907943635800557,0.47971501347410395,0.5061424143982675
Paddock 2,0.5488118884720076,0.2648026315789474,0.4234156427904513,0.4193641499319616,0.08341515447769887,0.0069580879965383665,78,0.3482558907614095,0.4193641499319616,0.503214274759191
Paddock 3,0.5854918562100884,0.34892867845370096,0.5010619628733446,0.5210663683818046,0.0638608503642384,0.004078208209243647,43,0.47737971181141986,0.5210663683818046,0.5501816646315674
Paddock 4,0.536725162751203,0.31655580791693705,0.4698453568637748,0.4750593824228028,0.047284144840226236,0.0022357903532714933,69,0.4442113936851567,0.4750593824228028,0.5046994850372718
Paddock 5,0.5777844132576889,0.28351793684906595,0.43261084203573025,0.42027006524047944,0.05566536976688015,0.0030986333912834947,63,0.3959568242348634,0.42027006524047944,0.46013662930787036
Paddock 6,0.47282818702357116,0.30336899249560917,0.4058352322400842,0.41195012537342895,0.03601525216795508,0.001297098388721393,68,0.38588562489136097,0.41195012537342895,0.4325000722520913
Paddock 7,0.5252002730179258,0.2951086325084234,0.4388124225003507,0.4365025235302142,0.042905734880394335,0.0018409020856266873,63,0.41484565336286505,0.4365025235302142,0.47260136236433437
Paddock 8,0.37094392624338246,0.26347656966716815,0.33390657165435655,0.3368535434140379,0.022965022872234623,0.0005273922755222593,61,0.31930493437935337,0.3368535434140379,0.3489576142482397
Paddock 9,0.5147605591909578,0.38717565548159216,0.4359481665357003,0.4373658276921033,0.028336905109797614,0.0008029801912016742,54,0.406410860385904,0.4373658276921033,0.4558109989355784
Paddock 10,0.5975764152649666,0.2693943690500304,0.4511461061203041,0.43419455522802153,0.0700451346707464,0.0049063208910429985,59,0.41203246579826003,0.43419455522802153,0.5186524911252045
Paddock 11,0.5362927628065929,0.37688442211055273,0.4433533985102657,0.43882841740205336,0.03591647846506692,0.0012899934253316158,51,0.4182159304110524,0.43882841740205336,0.4573898012100258
Paddock 12,0.5185506617487525,0.3708122079729596,0.4346268299046422,0.42715749262024655,0.036971751208130295,0.0013669103873958839,54,0.4106323709357045,0.42715749262024655,0.45710134576096073
Paddock 13,0.5383163457908645,0.3594720496894411,0.47726851029112877,0.4806531771388001,0.038280979638857654,0.0014654334021106342,41,0.4557977332170881,0.4806531771388001,0.5088174669822123
Paddock 14,0.47487052301407817,0.3379107052987275,0.4114083068732362,0.4196622063224519,0.0311551925835179,0.0009706460249160888,49,0.3933783641899696,0.4196622063224519,0.4335894621295281
Paddock 15,0.5602009689574735,0.3661553686293914,0.4811054562429958,0.49106302916274697,0.04989106396527757,0.002489118263587418,39,0.45498590962224505,0.49106302916274697,0.5099850012348478
Paddock 16,0.37799717912552894,0.23654969643743554,0.28565079814240707,0.2830494202992422,0.029837129288599627,0.0008902542841846097,45,0.26315789473684215,0.2830494202992422,0.2987875288683603
Paddock 17,0.48955235409988007,0.22181346028998053,0.3914083009619548,0.3990409375280535,0.062198281058157424,0.0038686261665895443,34,0.3569924772931774,0.3990409375280535,0.43305180454777464
Paddock 18,0.45474078993632067,0.18957946292855934,0.2961847130211147,0.2867993169019536,0.07088614419482439,0.005024845438809435,68,0.2413673798831375,0.2867993169019536,0.34301226935327955
Paddock 19,0.5098178377099597,0.20229278285534194,0.2979123423517895,0.2541203669177418,0.08623221722529258,0.007435995287590046,43,0.22799154253967902,0.2541203669177418,0.3746236627993455
Paddock 20,0.5495954341858112,0.213389295212766,0.38198076713877244,0.32834232240018346,0.12013171097492122,0.014431627981762006,28,0.2742900146552066,0.32834232240018346,0.5129810441335921
Paddock 21,0.5248373743347132,0.26937968531180484,0.4365236311612475,0.47288261515601776,0.07894586244956155,0.006232449197905093,21,0.3907641093133081,0.47288261515601776,0.49837320574162675
Paddock 22,0.4905311120603731,0.2689042448173741,0.3769330970741127,0.36833335320447735,0.046783009065426484,0.0021886499372157763,52,0.3425162544406462,0.36833335320447735,0.4101224166629428
Paddock 23,0.5512636574329545,0.17208293354469986,0.3803088739074855,0.37260162868839186,0.05462623432122976,0.0029840254761179003,76,0.3551160040516383,0.37260162868839186,0.4144091001178504
East 18 North third,0.35869366903849664,0.2002706932284397,0.26980928582934677,0.272072265835036,0.027767019891730305,0.0007710073936677464,115,0.25578315919552264,0.272072265835036,0.2808274728253285
East 18 South third,0.3556556632344034,0.20614981504315655,0.2707679410719464,0.2678723187272666,0.029063658678587206,0.0008446962557854175,91,0.2535445139864606,0.2678723187272666,0.2899031151001721
East 18 Middle third,0.36122163277335684,0.18274043468037218,0.24326150284971798,0.2412774338773213,0.028609326806816954,0.0008184935803392552,159,0.222864100441441,0.2412774338773213,0.2606341647603241
votm farm padded,0.7659707188199463,-0.06549749463135293,0.19484969045799602,0.14535933550018063,0.11831715530084182,0.01399894923848352,52547,0.12092088892308026,0.14535933550018063,0.2208486523291827
