,max,min,mean,median,std,var,pixels,25_percent,50_percent,75_percent
Farm boundary,-0.2678837163718332,-0.4085467771366573,-0.35534891051774875,-0.3565002759445719,0.022566481189484035,0.0005092460732753367,568,-0.37105123934249595,-0.3565002759445719,-0.3423545555823124
Paddock 1,-0.33953160421719547,-0.3757157894736842,-0.36295210966515745,-0.36365049646791486,0.010751373287109097,0.00011559202755876308,13,-0.37298290851610355,-0.36365049646791486,-0.3571018426788191
Paddock 2,-0.3391973330728276,-0.38650990268472785,-0.36938953581548045,-0.3717201226466071,0.011927266509410612,0.000142259686386508,22,-0.37937933641426824,-0.3717201226466071,-0.3609521644015904
Paddock 3,-0.37105251533742334,-0.39470049251475103,-0.38494422622900887,-0.3870172456028612,0.007089944286025821,5.0267309978950194e-05,11,-0.39016953141787647,-0.3870172456028612,-0.3806507893094001
Paddock 4,-0.35254031868662483,-0.39266781670635115,-0.3769243398682338,-0.37996659351377715,0.010928955784329305,0.00011944207453582498,19,-0.3863042319959934,-0.37996659351377715,-0.37025702493864404
Paddock 5,-0.3565640589293529,-0.3906920672137554,-0.3750038116275849,-0.3761180251241601,0.010466845058429841,0.0001095548454771772,15,-0.38392774368800775,-0.3761180251241601,-0.3690670280916334
Paddock 6,-0.32180408677125705,-0.38303189066059223,-0.35493559874166736,-0.354853681204495,0.015719834747540407,0.0002471132044899788,18,-0.3667536186100816,-0.354853681204495,-0.3452003059719089
Paddock 7,-0.33249168874969887,-0.3611471172962227,-0.35178674386641234,-0.3531190127041228,0.00765874871208728,5.8656431834898564e-05,14,-0.356556303252224,-0.3531190127041228,-0.35020132198960086
Paddock 8,-0.318468054069824,-0.357364849833148,-0.3432868172691037,-0.3448852265438625,0.010603590513256204,0.00011243613177281699,16,-0.3522357258587314,-0.3448852265438625,-0.33695766531177695
Paddock 9,-0.3387063668960171,-0.373727246278427,-0.35636605458293763,-0.3555759813447338,0.009487596968216997,9.001449623132037e-05,15,-0.36390665415081236,-0.3555759813447338,-0.34973045167557065
Paddock 10,-0.322175953220896,-0.37115580502502793,-0.3543945101786588,-0.35851564467693503,0.014525448549280805,0.00021098865555780385,15,-0.3672322402503618,-0.35851564467693503,-0.3445002225354784
Paddock 11,-0.33338341567373825,-0.38573049886071653,-0.3549898696824614,-0.35231382240359066,0.013993874989235546,0.00019582853721435213,14,-0.3608205885915975,-0.35231382240359066,-0.34672340851830036
Paddock 12,-0.31210288994651886,-0.3646605611847233,-0.3430250878514521,-0.3451357333982,0.016752211475895073,0.00028063658933311054,15,-0.3573809678079116,-0.3451357333982,-0.3311031331815324
Paddock 13,-0.34225521839969075,-0.37016361003861004,-0.3592894657970509,-0.3601084314103801,0.008906170605391787,7.93198748523447e-05,11,-0.36481498380082056,-0.3601084314103801,-0.35811504823786067
Paddock 14,-0.30773518754284596,-0.34929920180206653,-0.33031849472988434,-0.3287156753593452,0.012843488953566125,0.00016495520850037508,12,-0.34139587764173174,-0.3287156753593452,-0.32008867177122374
Paddock 15,-0.3350958805107203,-0.3811136363636364,-0.3550163695467791,-0.35451326085145557,0.010959600902717616,0.00012011285194684877,12,-0.35996967221122056,-0.35451326085145557,-0.3496475472890751
Paddock 16,-0.3206191867543219,-0.355593459752322,-0.3352382082428815,-0.33289370139510893,0.0102343670985407,0.00010474226990769238,10,-0.3403330077038849,-0.33289370139510893,-0.33016825947154715
Paddock 17,-0.34050670994622356,-0.3681864636866092,-0.35667667744980786,-0.35722412020825667,0.009378891352692644,8.796360300561285e-05,8,-0.3653131325910679,-0.35722412020825667,-0.34900000000000003
Paddock 18,-0.32336530393209095,-0.38846442495126704,-0.36491626371556063,-0.36410012637309225,0.016381232757253703,0.0002683447866473217,19,-0.3794225469466743,-0.36410012637309225,-0.35503281062211234
Paddock 19,-0.3796551690443619,-0.4043973087123073,-0.38906584543595335,-0.3866322233104799,0.007821789010883085,6.11803833307714e-05,11,-0.391209925156945,-0.3866322233104799,-0.38401214856648724
Paddock 20,-0.3587517085402429,-0.4085467771366573,-0.38014842310838187,-0.3760685339029918,0.015500748753817985,0.00024027321192898984,6,-0.38625647101300625,-0.3760685339029918,-0.3728690348140452
Paddock 21,-0.3661689497716895,-0.3796617829035292,-0.372225158246237,-0.37084474206349205,0.005594240973781616,3.129553207273709e-05,3,-0.37525326248351065,-0.37084474206349205,-0.36850684591759075
Paddock 22,-0.31434454450470173,-0.3585761831759062,-0.3410661053622785,-0.3427293777696355,0.012583468871493246,0.0001583436888398395,12,-0.35100607866080014,-0.3427293777696355,-0.3357993941128764
Paddock 23,-0.3089871159563925,-0.37337140590918105,-0.33329444792287444,-0.33221096378389076,0.017799347308246904,0.00031681676459959635,17,-0.3448270919101235,-0.33221096378389076,-0.3181490520271274
East 18 North third,-0.34170979106522487,-0.4028933945671292,-0.3785071294059151,-0.3835905319668131,0.01441727251521558,0.0002078577467779906,28,-0.39035615504479937,-0.3835905319668131,-0.3682367675995603
East 18 South third,-0.2678837163718332,-0.3585361643020141,-0.3082120423564901,-0.310945546239893,0.02482423371451214,0.0006162425795127213,22,-0.3269847787835783,-0.310945546239893,-0.29087181637905124
East 18 Middle third,-0.313464919531288,-0.38571875,-0.3532639569947146,-0.3544261460101868,0.015958919372734515,0.000254687107545441,41,-0.3639133957595459,-0.3544261460101868,-0.34503663855772027
votm farm padded,-0.2628924528301887,-0.45955798687089716,-0.35895829325574435,-0.35606850744852453,0.02770081437826882,0.0007673351172193046,13160,-0.37617481763364385,-0.35606850744852453,-0.3396955906904084
