,max,min,mean,median,std,var,pixels,25_percent,50_percent,75_percent
Farm boundary,0.8141088622519159,0.444486837085082,0.5923259510007108,0.5846744694761725,0.06465897653082694,0.00418078324601403,2284,0.5494704447354498,0.5846744694761725,0.6173780487804879
Paddock 1,0.5706257025103035,0.5144465290806755,0.5385747624929842,0.5403546869344915,0.014852717822907303,0.00022060322672690823,45,0.5249906050357008,0.5403546869344915,0.5476363636363636
Paddock 2,0.6367614879649891,0.5176699029126214,0.5672452572798877,0.5617219249430871,0.02976388975769407,0.0008858891335081658,78,0.5454068693958863,0.5617219249430871,0.5830039050928768
Paddock 3,0.5352789065386037,0.4910313901345291,0.5108939306967097,0.5113719735876743,0.01046986562647783,0.000109618086236502,43,0.5024602088932093,0.5113719735876743,0.5165651288513096
Paddock 4,0.606166783461808,0.49826856483262794,0.5447310861206993,0.5335229581470947,0.027984489828416483,0.0007831316709567455,69,0.5239579275418776,0.5335229581470947,0.5681470137825421
Paddock 5,0.5335206744279406,0.48333957319356047,0.5064534219547483,0.5077041602465331,0.011287779269629478,0.00012741396083987698,63,0.4986065618521087,0.5077041602465331,0.5155407158468981
Paddock 6,0.5795454545454546,0.5055070262058489,0.5548411431093144,0.5562756024748623,0.014918271611392085,0.00022255482787126698,68,0.5470810533221616,0.5562756024748623,0.5663471188548446
Paddock 7,0.5683104284559418,0.444486837085082,0.5113762916070421,0.5164835164835165,0.024539316286787297,0.0006021780438229844,63,0.49571562759258286,0.5164835164835165,0.5280763145883357
Paddock 8,0.6143173134928614,0.5596860801321768,0.5888808984680818,0.5885449568330174,0.01238080457468499,0.00015328432191654077,61,0.5823259691538141,0.5885449568330174,0.5980128337818257
Paddock 9,0.6,0.46405228758169936,0.5586704108153276,0.5650099403578529,0.026631303416849664,0.0007092263216803087,54,0.5502774753186616,0.5650099403578529,0.5753086232150169
Paddock 10,0.6504983388704318,0.4721337579617834,0.5637687429432116,0.5663457513604019,0.031183915454254973,0.0009724365830581222,59,0.5482612174555302,0.5663457513604019,0.5819065736630733
Paddock 11,0.635806253832005,0.555367709213863,0.6124216446083399,0.6164671287544633,0.018933676799151228,0.0003584841171347175,51,0.5992439774239435,0.6164671287544633,0.6287299178507759
Paddock 12,0.6447275300778486,0.5756802721088435,0.60163247022632,0.5954075181460614,0.016833583037033306,0.0002833695178646955,54,0.5894423038115677,0.5954075181460614,0.6120430107526882
Paddock 13,0.6427453610552202,0.5966898954703833,0.6122451894842195,0.6096345514950167,0.010687768156769155,0.00011422838817284875,41,0.6045579236125765,0.6096345514950167,0.6179584921643372
Paddock 14,0.7472417251755266,0.6265669672311414,0.6683040599059275,0.6647045999563985,0.028164884162470455,0.000793260699885379,49,0.6477935054121565,0.6647045999563985,0.6812933025404158
Paddock 15,0.6182166418386891,0.5521165225307237,0.5793050220766156,0.5803814713896458,0.015195537883905477,0.00023090437158120654,39,0.567015558129768,0.5803814713896458,0.5894934566973282
Paddock 16,0.6740136054421769,0.5457428641131984,0.6125206375508231,0.6085127443702054,0.02281857618465645,0.0005206874190949706,45,0.5977363829285546,0.6085127443702054,0.6272040302267002
Paddock 17,0.6006796941376381,0.5470980019029495,0.5791961592230886,0.5825358369558944,0.015003425339428743,0.0002251027719158125,34,0.5718378882039358,0.5825358369558944,0.5909959651730728
Paddock 18,0.5789250053112386,0.511744966442953,0.5498677684289397,0.5526117149758454,0.015313223335998372,0.0002344948089381651,68,0.5390343312719296,0.5526117149758454,0.5615912853174715
Paddock 19,0.6164043082021541,0.5003599712023038,0.573627557435347,0.582903463522476,0.02845410649000587,0.0008096361761445941,43,0.5524121647248621,0.582903463522476,0.5897586829323234
Paddock 20,0.592959295929593,0.528895391367959,0.5613217765284958,0.5639133377521122,0.017193310066106065,0.0002956099110292641,28,0.5488901997863516,0.5639133377521122,0.5709511432397704
Paddock 21,0.5753575357535754,0.528895391367959,0.551673909747292,0.5516372795969773,0.01389464955749414,0.00019306128632557207,21,0.5399197958439664,0.5516372795969773,0.5618501254930083
Paddock 22,0.6614881439084219,0.5324091420007493,0.5947756299502447,0.595841629162712,0.0312105223904799,0.0009740967078866471,52,0.5726792518474657,0.595841629162712,0.6185654514789829
Paddock 23,0.6902316213494462,0.5122655122655123,0.5858891817486738,0.5886484361146875,0.04544458945465323,0.0020652107107019795,76,0.5511100008851378,0.5886484361146875,0.6191904047976012
East 18 North third,0.6468516072214884,0.5445068163592622,0.592988862738954,0.5962517824404155,0.02199653950463167,0.00048384775017882155,115,0.5772261585196863,0.5962517824404155,0.6059496332453942
East 18 South third,0.8011958146487295,0.6373864128083081,0.7232189864925904,0.7329329329329329,0.04157804340479548,0.0017287336933710566,91,0.6915064102564102,0.7329329329329329,0.7519935935796112
East 18 Middle third,0.6627906976744186,0.5566583953680728,0.6036705693286987,0.6,0.01816742541927593,0.0003300553463649532,159,0.5923218609822213,0.6,0.6123846718555788
votm farm padded,0.9026620059155687,0.1111111111111111,0.70271286558132,0.7355473554735548,0.1303817533141996,0.016999401597284795,52547,0.6272200411291831,0.7355473554735548,0.8018451142521809
