,max,min,mean,median,std,var,pixels,25_percent,50_percent,75_percent
Farm boundary,3.863349259336533,1.4080326839478345,2.714810094749426,2.7102007216810406,0.39256582946398005,0.15410793046274268,568,2.4934909200829876,2.7102007216810406,2.947125592417062
Paddock 1,3.3561847575057744,2.069336916161814,2.642798272707693,2.4317325282122355,0.4411273385243486,0.19459332879357527,13,2.34484442361762,2.4317325282122355,2.9706070300157985
Paddock 2,3.2709612486544675,2.1391481481481485,2.7522256103388076,2.7129091230260887,0.36207441410382385,0.13109788134862732,22,2.4945747082893606,2.7129091230260887,3.126278254521618
Paddock 3,2.720883172781308,2.3712640328574226,2.578445079535276,2.598452994766428,0.11256874130515104,0.012671721519026019,11,2.5223495200380937,2.598452994766428,2.661318288814848
Paddock 4,3.3919459459459462,1.96501774659513,2.463024278638287,2.350995940734727,0.4235654244103306,0.1794076687559035,19,2.1879895772169777,2.350995940734727,2.5733757241619752
Paddock 5,2.8648538146896674,2.432858638743456,2.6315713236695966,2.615767932489452,0.13714485104551435,0.018808710168296317,15,2.528367365511275,2.615767932489452,2.733724985993343
Paddock 6,3.0150952380952387,2.3763134510042607,2.6134883821929216,2.5717857987141923,0.17365530991482744,0.030156166661614765,18,2.541721157029896,2.5717857987141923,2.6801176839207677
Paddock 7,2.816233273056058,2.4645413184772518,2.671160315185532,2.6858734575244942,0.10816604568982562,0.011699893440173444,14,2.5842515553210665,2.6858734575244942,2.765318833427336
Paddock 8,3.2753611817648216,2.3855966453674124,2.64741984140879,2.5659399947392885,0.26025377954148854,0.06773202976562971,16,2.43349709772526,2.5659399947392885,2.7772337107638987
Paddock 9,2.922669662113588,2.610899099099099,2.824674996030779,2.8634441687344916,0.08917401365331086,0.007952004711040872,15,2.8017627850124507,2.8634441687344916,2.8798091389255145
Paddock 10,3.0302785388127855,2.553096069868996,2.862447915377927,2.9111360300698053,0.14787810115148622,0.02186793280016919,15,2.779254365788476,2.9111360300698053,2.979255862845039
Paddock 11,2.8571579528718707,2.65815206185567,2.7479331303963357,2.7283515900504254,0.06493708988010552,0.004216825642096903,14,2.6966000000000006,2.7283515900504254,2.7934760677466866
Paddock 12,3.0538693457581054,2.56635700351151,2.7978988271393415,2.807454925827311,0.14407658604334556,0.020758062645905555,15,2.709757753367864,2.807454925827311,2.8861917967026662
Paddock 13,2.725689970138767,2.5038610123582195,2.5812638453015824,2.5635428759894463,0.06256857144442624,0.00391482613259627,11,2.5357609070264906,2.5635428759894463,2.6260474415452393
Paddock 14,3.40989972688256,2.842768755516329,3.0420437408023475,3.0010462932876187,0.14283253244346736,0.020401132324214158,12,2.950777012139354,3.0010462932876187,3.0768161078967653
Paddock 15,2.365608544027899,1.8945627674750354,2.141907014397845,2.163262296409077,0.1082988002912964,0.011728630144534102,12,2.1080449235439773,2.163262296409077,2.1816002154936562
Paddock 16,2.631339361464613,2.0427248498498503,2.289221723477892,2.3556435094379786,0.2029191275424414,0.0411761723225856,10,2.0660143111705094,2.3556435094379786,2.4389346565316536
Paddock 17,2.864974290305303,2.1625815852979398,2.4959900007334,2.526398647115177,0.1944756428883675,0.037820775676843846,8,2.3655167862150797,2.526398647115177,2.5779340186241297
Paddock 18,3.580625475665933,2.1389525279814747,2.8616724999279857,2.964351237291387,0.39060310056616304,0.1525707821719001,19,2.5997124427082827,2.964351237291387,3.1771491938439596
Paddock 19,3.863349259336533,2.4982160356347443,3.114918350291091,3.135000793021412,0.47884504605819367,0.2292925781344736,11,2.61450825504836,3.135000793021412,3.4396530359112516
Paddock 20,2.939077522399689,2.3065622241835837,2.6098064118111197,2.5373837126360983,0.211361332457111,0.04467361285804541,6,2.5151150972562157,2.5373837126360983,2.757400233320272
Paddock 21,3.0411725097384537,2.623672490640043,2.799949102394524,2.7350023068050753,0.176522201020715,0.031160087453197715,3,2.6793373987225593,2.7350023068050753,2.8880874082717645
Paddock 22,2.511706500583885,1.763734375,2.03464491660907,1.986598819655763,0.19032179012409053,0.036222383796038364,12,1.89417800392787,1.986598819655763,2.1010512394717704
Paddock 23,2.7791578947368425,1.4080326839478345,2.2023204873900077,2.2439828244274813,0.36966751337940207,0.1366540704481104,17,1.9572047417754088,2.2439828244274813,2.4685278771302337
East 18 North third,3.0571097511219913,2.3497225888865234,2.66413768130422,2.650092363054778,0.17908101975357854,0.03207001163598159,28,2.569621331257882,2.650092363054778,2.716254729963418
East 18 South third,3.308338167668907,2.5814961125509073,2.8659736456362537,2.8350532398635844,0.15100460109378153,0.022802389551492084,22,2.7805833380553038,2.8350532398635844,2.924474605677058
East 18 Middle third,3.3289189015232785,2.5261346153846156,2.912359947845707,2.9214416864391315,0.19918535067519336,0.03967480392359975,41,2.830465259454706,2.9214416864391315,3.034037226708686
votm farm padded,4.295685353629108,-0.8724766118836915,2.9762118279627683,3.1607939027789347,0.8592199605426368,0.7382589405948904,13128,2.5808986287713593,3.1607939027789347,3.578662116669424
