,max,min,mean,median,std,var,pixels,25_percent,50_percent,75_percent
Farm boundary,0.8903780068728522,0.3028303894445627,0.7919554957851889,0.8129400098512194,0.0724566840723447,0.005249971066759569,2284,0.7589217320895433,0.8129400098512194,0.84278176948259
Paddock 1,0.8773606901375612,0.8213058419243986,0.8456867893622559,0.846018863785918,0.013451127924346247,0.0001809328424371274,45,0.8367772907534962,0.846018863785918,0.8524989841527835
Paddock 2,0.8827838827838828,0.812807881773399,0.848658738578059,0.8517992150286536,0.015839326273753757,0.00025088425680642605,78,0.8387926368949123,0.8517992150286536,0.8581778968563387
Paddock 3,0.858195578570006,0.47368421052631576,0.8196515878005559,0.8403775133360689,0.07083756885564833,0.005017961161378718,43,0.8370661896243292,0.8403775133360689,0.8502294768825933
Paddock 4,0.8651097241795853,0.7578307620383357,0.8447497856953087,0.8503823103947097,0.020199668677002992,0.0004080266146606958,69,0.8425039872408293,0.8503823103947097,0.8546195652173914
Paddock 5,0.8187779433681073,0.6538793103448276,0.7197243962133086,0.7081174438687392,0.038181997104119715,0.0014578649028590064,63,0.6913140351786871,0.7081174438687392,0.7401253086644342
Paddock 6,0.8448844884488449,0.7779288465896216,0.8151674361462672,0.8168433543979318,0.01350245918890922,0.00018231640414815902,68,0.8051206170361584,0.8168433543979318,0.8238399028639591
Paddock 7,0.8370301190754145,0.6480910599952573,0.7404598102372173,0.7412460209185994,0.03198220705583155,0.0010228615681620815,63,0.7270989742320491,0.7412460209185994,0.7503296703296704
Paddock 8,0.7778791334093501,0.6676996424314661,0.714076581732143,0.711360312042906,0.02360395533637228,0.0005571467075214574,61,0.6992956035948507,0.711360312042906,0.7252747252747253
Paddock 9,0.738939991239597,0.5677926885701065,0.6276393772914697,0.6203261177807641,0.03456183747738652,0.001194520609813279,54,0.6073344373308888,0.6203261177807641,0.6384104569232063
Paddock 10,0.8308918015934207,0.5464544816288323,0.7447110264120932,0.747906976744186,0.04166664967237884,0.0017361096949207477,59,0.7368240743885492,0.747906976744186,0.7635579759473565
Paddock 11,0.7028169014084507,0.6266349583828775,0.6571186471951784,0.6559139784946236,0.01740217307440832,0.0003028356277116619,51,0.643764419228298,0.6559139784946236,0.6629786628378529
Paddock 12,0.7928501469147894,0.7336093857832988,0.7548103618087219,0.753006847594735,0.013775929788472224,0.00018977624153691637,54,0.7442538442863857,0.753006847594735,0.7621091226301656
Paddock 13,0.8392387122899372,0.6901083698409038,0.7972632826348774,0.8026315789473685,0.02574395982461156,0.0006627514674512141,41,0.7904525728456293,0.8026315789473685,0.8085642317380353
Paddock 14,0.8470514690560533,0.7565534533850011,0.7980648177953195,0.7956821722679724,0.02344745930145483,0.0005497833476933807,49,0.7808635278802343,0.7956821722679724,0.8106954556866683
Paddock 15,0.835377260444814,0.7593944309272777,0.8073737487199409,0.8110091743119267,0.0193038120754238,0.00037263716064327764,39,0.7977916743847682,0.8110091743119267,0.8213113000747593
Paddock 16,0.8616744669786791,0.7144205805994808,0.8153139472333931,0.8195652173913044,0.02927706215699369,0.0008571463685444719,45,0.8018173950670705,0.8195652173913044,0.8341992319855432
Paddock 17,0.868362004487659,0.767941985496374,0.8153697532248775,0.8147971360381862,0.019810760767670018,0.0003924662421938536,34,0.8089534302353099,0.8147971360381862,0.8259595413651237
Paddock 18,0.8795045045045045,0.7516504243948444,0.8338387404381797,0.8415602995468464,0.032156863035407414,0.0010340638402779516,68,0.8155270994182566,0.8415602995468464,0.8577510360540033
Paddock 19,0.8903780068728522,0.8021284982262514,0.8701115996861305,0.8754342431761787,0.015059949551541345,0.00022680208049497038,43,0.8687253258964551,0.8754342431761787,0.8778531851047838
Paddock 20,0.876416506307462,0.6613596158706091,0.8206446895036399,0.8300242692329434,0.04943374290174386,0.002443694937275712,28,0.8029030123890386,0.8300242692329434,0.8600200745745559
Paddock 21,0.8619171502901741,0.8093012386071512,0.8476825302763293,0.8528138528138528,0.013794604878944274,0.00019029112376619316,21,0.8454245671887881,0.8528138528138528,0.8561009264734871
Paddock 22,0.8486320634108924,0.6637706342311034,0.7728267462917882,0.785602020999967,0.052716826773296054,0.0027790638250457037,52,0.7323205456095482,0.785602020999967,0.8201664820949395
Paddock 23,0.8331573389651531,0.6611226611226612,0.7824057729840428,0.7936629756109853,0.04209211261023258,0.0017717459439925008,76,0.7665891482654786,0.7936629756109853,0.8116295833872006
East 18 North third,0.8767096898478135,0.7974269005847954,0.8521045346108427,0.8593647316538883,0.018139968258441084,0.0003290584484172501,115,0.8439120179913334,0.8593647316538883,0.8644833463408617
East 18 South third,0.8353242320819113,0.7126829268292683,0.775674469996347,0.7645714285714286,0.02920295678667441,0.0008528126850843729,91,0.7547836642384769,0.7645714285714286,0.7986193834664321
East 18 Middle third,0.8649274142646749,0.7805983680870353,0.8340168189189513,0.8363679356821944,0.02072764480129644,0.0004296352590087112,159,0.8174606532663158,0.8363679356821944,0.8535794101674229
votm farm padded,0.9237495627841903,-0.04201680672268908,0.7801122380463373,0.8354796320630749,0.14993802938919526,0.022481412657115177,52547,0.7625375053579083,0.8354796320630749,0.8693107824717448
