paddock_only,date_on,time_only,date_off,time_off,full_grown,heifer_steer,calf
P10,9-Oct-19,08:15PM,12-Oct-19,08:23AM,13,7,8
P12,12-Oct-19,08:23AM,14-Oct-19,09:00PM,13,7,8
P8,14-Oct-19,09:00PM,17-Oct-19,11:10PM,13,7,8
P20,14-Oct-19,09:01PM,2-Nov-19,12:00PM,2,,
E18N,17-Oct-19,11:10PM,19-Oct-19,09:55AM,13,7,8
E18N,19-Oct-19,09:55AM,21-Oct-19,03:21PM,13,7,8
E18M,21-Oct-19,03:21PM,21-Oct-19,03:21PM,13,7,8
E18M,24-Oct-19,04:37PM,27-Oct-19,02:19PM,13,7,8
E18S,27-Oct-19,02:19PM,29-Oct-19,05:37PM,13,7,8
P14,29-Oct-19,05:37PM,2-Nov-19,08:45AM,13,7,8
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
